,Unnamed: 0,hot_100_url,WeekID,Week Positon,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Genres,spotify_track_id,spotify_track_preview_url,Duration (ms),Explicit,Album,Danceability,Energy,Key,Loudness (db),Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Popularity,Predictions,pca1,pca2
8749,8749,http://www.billboard.com/charts/hot-100/2010-01-02,2010-01-02,27,Try Sleeping With A Broken Heart,Alicia Keys,Try Sleeping With A Broken HeartAlicia Keys,1,56.0,27,5,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",1yK9LISg5uBOOW5bT2Wm0i,https://p.scdn.co/mp3-preview/39e034947825d438a81c387b71f58cac3201c8e6?cid=b8d3901151d34489a160e3cf0ab1fa94,249013.0,0.0,The Element Of Freedom,0.496,0.82,5.0,-5.155,1.0,0.112,0.158,0.246,0.13,0.549,110.977,5.0,62.0,0,-0.8945569070436197,-0.9766176426970304
8443,8443,http://www.billboard.com/charts/hot-100/2010-01-02,2010-01-02,26,Money To Blow,Birdman Featuring Lil Wayne & Drake,Money To BlowBirdman Featuring Lil Wayne & Drake,1,26.0,26,11,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",4gaz3uvhKgO078XcdzyPsl,,258586.0,1.0,Pricele$$,0.709,0.562,6.0,-8.707,1.0,0.0675,0.0103,0.0,0.347,0.663,133.023,4.0,57.0,0,0.12411074985631362,0.8462417244618265
10375,10375,http://www.billboard.com/charts/hot-100/2010-01-02,2010-01-02,35,Gangsta Luv,Snoop Dogg Featuring The-Dream,Gangsta LuvSnoop Dogg Featuring The-Dream,1,35.0,35,9,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1E8wif6bVXurUgxV8Gfwrw,,256546.0,0.0,Malice 'N Wonderland,0.59,0.735,2.0,-4.924,1.0,0.297,0.0277,0.0,0.0818,0.398,102.076,4.0,50.0,0,-0.4235530440784974,-0.24756994960985837
17366,17366,http://www.billboard.com/charts/hot-100/2010-01-02,2010-01-02,67,Elevator,Eminem,ElevatorEminem,1,,67,1,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",26rUU3JZ9JB9OkEuG9mb3e,,292933.0,1.0,Relapse: Refill,0.783,0.795,7.0,-3.827,0.0,0.327,0.328,0.0,0.332,0.559,90.488,4.0,53.0,0,-0.815541567016638,2.0298860084215122
14762,14762,http://www.billboard.com/charts/hot-100/2010-01-02,2010-01-02,55,Empire State Of Mind (Part II) Broken Down,Alicia Keys,Empire State Of Mind (Part II) Broken DownAlicia Keys,1,,55,1,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",5sra5UY6sD658OabHL3QtI,https://p.scdn.co/mp3-preview/6ea63bc18c68a1f518d84b763106d315c6bfef84?cid=b8d3901151d34489a160e3cf0ab1fa94,216480.0,0.0,The Element Of Freedom,0.479,0.368,6.0,-7.784,1.0,0.0341,0.739,4.1e-05,0.118,0.142,92.959,4.0,76.0,0,3.1400829489856554,-1.65179140865005
9091,9091,http://www.billboard.com/charts/hot-100/2010-01-02,2010-01-02,29,Hell Breaks Loose,Eminem Featuring Dr. Dre,Hell Breaks LooseEminem Featuring Dr. Dre,1,,29,1,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",0FXfAepEmqVCMnvOpb8Hoj,,244160.0,1.0,Relapse: Refill,0.685,0.884,6.0,-3.072,1.0,0.188,0.123,0.0,0.105,0.902,79.903,4.0,51.0,0,-1.9733771940304712,0.6827516347700624
11947,11947,http://www.billboard.com/charts/hot-100/2010-01-02,2010-01-02,42,I Invented Sex,Trey Songz Featuring Drake,I Invented SexTrey Songz Featuring Drake,1,43.0,42,9,"['dance pop', 'pop', 'pop rap', 'r&b', 'trap', 'urban contemporary']",1Ug1mV9h5qVSs4rvvnQWux,https://p.scdn.co/mp3-preview/4e628022d31e0d2fbf27f4e49b69260478add2ab?cid=b8d3901151d34489a160e3cf0ab1fa94,247933.0,0.0,Ready (Deluxe),0.69,0.76,0.0,-4.778,1.0,0.0587,0.0678,0.0,0.184,0.468,89.958,4.0,58.0,0,-0.7147451358747475,-1.0041519966055803
6317,6317,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,17,One Time,Justin Bieber,One TimeJustin Bieber,2,47.0,17,23,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",6eDApnV9Jdb1nYahOlbbUh,,215866.0,0.0,My World,0.707,0.833,1.0,-2.553,0.0,0.0359,0.0808,4.42e-05,0.0778,0.734,145.997,4.0,69.0,0,-2.0894918003718668,-0.5643100206691524
13324,13324,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,48,Steady Mobbin',Young Money Featuring Gucci Mane,Steady Mobbin'Young Money Featuring Gucci Mane,1,,48,1,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3cSuhzV7wKX5diQ8hos78P,,310733.0,1.0,We Are Young Money,0.681,0.694,0.0,-8.123,0.0,0.258,0.0252,0.0,0.541,0.659,156.149,4.0,66.0,0,-0.4950569281195239,1.8744770672727935
20560,20560,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,82,Music Box,Eminem,Music BoxEminem,1,,82,1,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",1PokNDiTBQZgXci6rn2BVE,,304906.0,1.0,Relapse: Refill,0.462,0.719,4.0,-5.109,0.0,0.251,0.0136,0.0,0.224,0.427,81.66,4.0,53.0,0,-0.23618103377382216,0.7243983156495744
